iter	Passed	Remaining
0	20	20169
1	42	21207
2	62	20780
3	77	19300
4	93	18702
5	112	18680
6	130	18490
7	147	18237
8	163	17953
9	186	18427
10	204	18427
11	223	18439
12	246	18736
13	268	18887
14	284	18706
15	302	18625
16	324	18783
17	343	18727
18	361	18651
19	384	18833
20	401	18721
21	419	18633
22	441	18738
23	462	18814
24	479	18712
25	498	18671
26	521	18799
27	539	18744
28	558	18712
29	586	18964
30	609	19062
31	631	19105
32	668	19580
33	701	19920
34	738	20350
35	777	20821
36	821	21368
37	871	22074
38	913	22518
39	950	22814
40	998	23350
41	1041	23747
42	1071	23846
43	1090	23699
44	1121	23801
45	1156	23983
46	1181	23959
47	1200	23810
48	1221	23701
49	1243	23622
50	1263	23503
51	1282	23377
52	1305	23326
53	1334	23384
54	1355	23286
55	1378	23244
56	1398	23134
57	1423	23117
58	1446	23075
59	1466	22980
60	1487	22891
61	1510	22857
62	1529	22748
63	1548	22643
64	1570	22592
65	1592	22537
66	1611	22442
67	1633	22391
68	1663	22448
69	1686	22412
70	1715	22452
71	1736	22381
72	1758	22336
73	1785	22345
74	1809	22321
75	1840	22377
76	1861	22309
77	1881	22244
78	1907	22234
79	1928	22173
80	1955	22191
81	1981	22187
82	2000	22103
83	2021	22040
84	2047	22045
85	2068	21988
86	2090	21937
87	2115	21923
88	2138	21889
89	2160	21848
90	2184	21816
91	2204	21757
92	2242	21865
93	2272	21901
94	2306	21968
95	2336	22005
96	2370	22071
97	2401	22100
98	2448	22286
99	2484	22361
100	2519	22423
101	2548	22440
102	2577	22449
103	2601	22416
104	2626	22391
105	2651	22358
106	2671	22294
107	2696	22271
108	2718	22221
109	2745	22213
110	2787	22325
111	2812	22298
112	2848	22360
113	2878	22367
114	2904	22350
115	2929	22327
116	2953	22293
117	2977	22254
118	2998	22200
119	3025	22189
120	3058	22215
121	3083	22192
122	3109	22169
123	3132	22129
124	3159	22117
125	3182	22075
126	3216	22107
127	3242	22087
128	3264	22040
129	3289	22011
130	3310	21958
131	3331	21906
132	3355	21874
133	3376	21819
134	3403	21808
135	3430	21791
136	3458	21784
137	3485	21773
138	3508	21730
139	3536	21723
140	3569	21746
141	3591	21703
142	3615	21669
143	3638	21630
144	3661	21591
145	3700	21643
146	3721	21597
147	3747	21572
148	3769	21526
149	3804	21560
150	3842	21606
151	3889	21698
152	3923	21720
153	3953	21715
154	3973	21664
155	3995	21616
156	4021	21595
157	4045	21557
158	4070	21531
159	4094	21494
160	4124	21492
161	4154	21491
162	4178	21456
163	4219	21511
164	4245	21485
165	4272	21465
166	4308	21493
167	4346	21525
168	4386	21570
169	4426	21612
170	4451	21580
171	4478	21561
172	4502	21521
173	4526	21485
174	4550	21454
175	4575	21419
176	4599	21384
177	4636	21409
178	4665	21398
179	4690	21369
180	4711	21319
181	4736	21289
182	4761	21258
183	4784	21220
184	4822	21244
185	4845	21204
186	4868	21165
187	4890	21122
188	4916	21096
189	4943	21076
190	4977	21083
191	5003	21055
192	5030	21033
193	5057	21013
194	5082	20980
195	5102	20930
196	5139	20947
197	5166	20927
198	5190	20890
199	5218	20875
200	5242	20841
201	5266	20804
202	5299	20806
203	5337	20828
204	5374	20841
205	5421	20895
206	5469	20953
207	5506	20965
208	5548	20998
209	5595	21049
210	5635	21073
211	5679	21111
212	5701	21066
213	5724	21025
214	5758	21026
215	5797	21041
216	5820	21002
217	5843	20962
218	5867	20924
219	5886	20870
220	5913	20842
221	5947	20841
222	5970	20801
223	5993	20764
224	6016	20721
225	6039	20683
226	6066	20657
227	6099	20652
228	6123	20616
229	6149	20587
230	6171	20543
231	6197	20517
232	6217	20467
233	6249	20457
234	6276	20430
235	6300	20396
236	6328	20373
237	6348	20325
238	6371	20287
239	6408	20292
240	6436	20270
241	6464	20247
242	6484	20200
243	6505	20154
244	6532	20129
245	6552	20084
246	6575	20046
247	6603	20023
248	6623	19975
249	6645	19937
250	6668	19898
251	6687	19850
252	6709	19808
253	6731	19769
254	6751	19725
255	6775	19692
256	6800	19661
257	6824	19626
258	6848	19593
259	6872	19559
260	6914	19578
261	6937	19542
262	6959	19502
263	6985	19475
264	7006	19432
265	7029	19396
266	7058	19376
267	7078	19335
268	7118	19343
269	7145	19318
270	7165	19275
271	7190	19246
272	7212	19207
273	7235	19170
274	7260	19141
275	7283	19107
276	7312	19085
277	7342	19070
278	7367	19038
279	7392	19010
280	7414	18971
281	7450	18969
282	7472	18931
283	7492	18889
284	7516	18857
285	7538	18820
286	7567	18798
287	7602	18794
288	7640	18797
289	7672	18783
290	7701	18764
291	7731	18745
292	7760	18726
293	7791	18709
294	7827	18705
295	7861	18698
296	7904	18710
297	7937	18699
298	7965	18675
299	7992	18650
300	8026	18640
301	8054	18615
302	8079	18586
303	8108	18565
304	8127	18520
305	8149	18482
306	8174	18451
307	8193	18408
308	8215	18372
309	8241	18344
310	8260	18300
311	8280	18260
312	8306	18232
313	8327	18192
314	8349	18156
315	8376	18130
316	8395	18089
317	8427	18073
318	8451	18041
319	8474	18008
320	8499	17978
321	8519	17939
322	8542	17904
323	8565	17871
324	8585	17830
325	8607	17796
326	8641	17784
327	8671	17765
328	8695	17734
329	8715	17695
330	8738	17661
331	8767	17641
332	8788	17603
333	8818	17583
334	8842	17552
335	8868	17525
336	8891	17493
337	8913	17458
338	8933	17418
339	8957	17387
340	8980	17354
341	9002	17320
342	9033	17303
343	9053	17265
344	9075	17230
345	9101	17204
346	9132	17185
347	9171	17182
348	9206	17172
349	9244	17168
350	9280	17159
351	9315	17149
352	9336	17113
353	9362	17085
354	9383	17049
355	9409	17021
356	9434	16992
357	9455	16956
358	9478	16924
359	9502	16893
360	9523	16856
361	9547	16827
362	9570	16795
363	9593	16761
364	9617	16731
365	9637	16694
366	9658	16658
367	9684	16632
368	9704	16595
369	9727	16562
370	9755	16539
371	9775	16502
372	9796	16466
373	9827	16449
374	9867	16446
375	9918	16459
376	9961	16462
377	9990	16438
378	10034	16442
379	10077	16442
380	10123	16447
381	10170	16454
382	10202	16435
383	10225	16403
384	10243	16363
385	10264	16327
386	10300	16315
387	10319	16276
388	10343	16246
389	10362	16208
390	10382	16171
391	10410	16147
392	10432	16113
393	10453	16078
394	10477	16048
395	10496	16010
396	10518	15976
397	10544	15949
398	10564	15912
399	10585	15878
400	10611	15851
401	10630	15812
402	10650	15777
403	10675	15749
404	10696	15713
405	10720	15684
406	10750	15663
407	10770	15627
408	10790	15591
409	10816	15565
410	10836	15529
411	10889	15541
412	10915	15514
413	10949	15498
414	10972	15467
415	10995	15435
416	11020	15407
417	11042	15375
418	11065	15344
419	11091	15317
420	11114	15285
421	11140	15258
422	11160	15223
423	11181	15190
424	11209	15165
425	11228	15129
426	11250	15096
427	11275	15069
428	11296	15035
429	11318	15003
430	11354	14990
431	11398	14986
432	11424	14960
433	11447	14928
434	11476	14905
435	11498	14873
436	11522	14844
437	11545	14813
438	11565	14780
439	11588	14749
440	11613	14720
441	11636	14690
442	11664	14666
443	11685	14633
444	11707	14601
445	11739	14582
446	11765	14555
447	11786	14522
448	11809	14492
449	11828	14456
450	11851	14426
451	11875	14398
452	11895	14364
453	11919	14334
454	11944	14306
455	11964	14273
456	11994	14251
457	12016	14220
458	12042	14193
459	12067	14165
460	12091	14136
461	12112	14105
462	12137	14077
463	12159	14046
464	12182	14016
465	12206	13987
466	12228	13956
467	12250	13925
468	12275	13898
469	12297	13867
470	12323	13840
471	12346	13810
472	12370	13782
473	12395	13755
474	12416	13723
475	12436	13690
476	12463	13665
477	12482	13631
478	12509	13606
479	12536	13581
480	12560	13553
481	12585	13525
482	12607	13494
483	12628	13463
484	12654	13437
485	12689	13421
486	12735	13415
487	12766	13394
488	12795	13370
489	12817	13341
490	12853	13324
491	12881	13299
492	12907	13273
493	12930	13245
494	12955	13217
495	12979	13188
496	13002	13159
497	13023	13128
498	13052	13105
499	13086	13086
500	13114	13062
501	13137	13033
502	13160	13003
503	13185	12975
504	13205	12943
505	13229	12915
506	13266	12900
507	13290	12872
508	13316	12846
509	13339	12816
510	13382	12806
511	13404	12776
512	13430	12749
513	13463	12729
514	13485	12699
515	13511	12673
516	13533	12643
517	13554	12612
518	13579	12585
519	13600	12554
520	13636	12536
521	13663	12511
522	13703	12497
523	13726	12469
524	13747	12438
525	13773	12412
526	13797	12383
527	13822	12356
528	13857	12338
529	13883	12312
530	13912	12287
531	13932	12256
532	13955	12227
533	13978	12198
534	14010	12177
535	14040	12154
536	14060	12122
537	14085	12096
538	14112	12070
539	14132	12038
540	14158	12012
541	14182	11984
542	14207	11957
543	14242	11938
544	14269	11912
545	14293	11884
546	14321	11860
547	14349	11835
548	14378	11811
549	14406	11787
550	14447	11772
551	14492	11761
552	14530	11745
553	14569	11729
554	14611	11715
555	14649	11698
556	14685	11679
557	14724	11663
558	14769	11651
559	14809	11636
560	14850	11620
561	14892	11606
562	14914	11576
563	14951	11558
564	14975	11529
565	14998	11500
566	15036	11483
567	15059	11453
568	15082	11424
569	15105	11395
570	15131	11368
571	15163	11345
572	15185	11316
573	15208	11286
574	15231	11258
575	15250	11225
576	15269	11194
577	15293	11166
578	15316	11136
579	15340	11108
580	15367	11082
581	15402	11062
582	15429	11035
583	15448	11004
584	15483	10984
585	15506	10955
586	15528	10925
587	15554	10898
588	15576	10869
589	15598	10839
590	15626	10814
591	15657	10790
592	15685	10765
593	15707	10735
594	15728	10705
595	15751	10677
596	15779	10651
597	15815	10631
598	15840	10604
599	15864	10576
600	15893	10551
601	15913	10521
602	15949	10500
603	15976	10474
604	16001	10447
605	16027	10420
606	16047	10390
607	16069	10360
608	16093	10332
609	16115	10303
610	16136	10273
611	16174	10254
612	16197	10225
613	16222	10198
614	16242	10167
615	16279	10148
616	16303	10120
617	16327	10092
618	16354	10066
619	16387	10044
620	16415	10018
621	16438	9989
622	16472	9968
623	16501	9942
624	16527	9916
625	16552	9889
626	16572	9858
627	16595	9830
628	16618	9801
629	16641	9773
630	16670	9748
631	16701	9725
632	16726	9697
633	16751	9670
634	16772	9640
635	16795	9612
636	16823	9586
637	16853	9562
638	16881	9536
639	16906	9509
640	16928	9480
641	16953	9453
642	16988	9432
643	17012	9404
644	17035	9376
645	17060	9348
646	17084	9321
647	17105	9292
648	17138	9268
649	17174	9247
650	17203	9222
651	17231	9197
652	17263	9173
653	17294	9149
654	17333	9129
655	17366	9106
656	17399	9083
657	17426	9057
658	17456	9033
659	17483	9006
660	17511	8981
661	17545	8958
662	17587	8939
663	17625	8918
664	17663	8897
665	17696	8874
666	17735	8854
667	17782	8837
668	17819	8816
669	17842	8788
670	17886	8770
671	17920	8747
672	17943	8718
673	17963	8688
674	17983	8658
675	18009	8631
676	18028	8601
677	18058	8576
678	18094	8554
679	18124	8529
680	18149	8501
681	18174	8474
682	18199	8446
683	18220	8417
684	18242	8388
685	18267	8361
686	18291	8333
687	18314	8305
688	18351	8283
689	18372	8254
690	18399	8227
691	18427	8201
692	18448	8172
693	18474	8145
694	18500	8118
695	18534	8095
696	18554	8066
697	18577	8037
698	18608	8013
699	18633	7985
700	18665	7961
701	18684	7931
702	18707	7903
703	18731	7875
704	18756	7848
705	18785	7822
706	18810	7795
707	18831	7766
708	18857	7739
709	18880	7711
710	18902	7683
711	18927	7655
712	18947	7626
713	18970	7598
714	18993	7570
715	19016	7542
716	19039	7514
717	19064	7487
718	19091	7461
719	19117	7434
720	19163	7415
721	19198	7392
722	19247	7374
723	19293	7354
724	19346	7338
725	19374	7312
726	19398	7284
727	19436	7261
728	19478	7240
729	19527	7222
730	19555	7196
731	19578	7168
732	19596	7138
733	19617	7109
734	19651	7085
735	19682	7060
736	19707	7032
737	19727	7003
738	19748	6974
739	19775	6948
740	19794	6918
741	19813	6889
742	19837	6861
743	19859	6833
744	19883	6805
745	19910	6779
746	19928	6749
747	19951	6721
748	19976	6694
749	19995	6665
750	20018	6637
751	20043	6610
752	20064	6581
753	20084	6552
754	20108	6525
755	20128	6496
756	20148	6467
757	20173	6440
758	20213	6418
759	20248	6394
760	20279	6368
761	20311	6344
762	20344	6319
763	20378	6294
764	20407	6269
765	20445	6245
766	20480	6221
767	20511	6196
768	20542	6170
769	20570	6144
770	20604	6119
771	20634	6094
772	20656	6066
773	20678	6037
774	20704	6010
775	20730	5984
776	20757	5957
777	20778	5929
778	20800	5900
779	20825	5873
780	20846	5845
781	20874	5819
782	20901	5792
783	20922	5764
784	20962	5741
785	20981	5712
786	21003	5684
787	21030	5657
788	21052	5630
789	21072	5601
790	21097	5574
791	21117	5545
792	21139	5518
793	21166	5491
794	21188	5463
795	21213	5436
796	21237	5409
797	21267	5383
798	21291	5356
799	21314	5328
800	21337	5301
801	21362	5274
802	21384	5246
803	21405	5218
804	21434	5192
805	21456	5164
806	21479	5136
807	21502	5109
808	21525	5082
809	21550	5055
810	21571	5027
811	21592	4999
812	21620	4972
813	21639	4944
814	21661	4916
815	21687	4890
816	21710	4862
817	21731	4835
818	21756	4808
819	21775	4780
820	21797	4752
821	21826	4726
822	21853	4699
823	21892	4676
824	21914	4648
825	21935	4620
826	21962	4594
827	21985	4566
828	22011	4540
829	22034	4513
830	22060	4486
831	22084	4459
832	22105	4431
833	22126	4404
834	22150	4377
835	22173	4349
836	22196	4322
837	22221	4295
838	22242	4268
839	22263	4240
840	22291	4214
841	22312	4186
842	22338	4160
843	22381	4136
844	22414	4111
845	22437	4084
846	22459	4056
847	22483	4030
848	22506	4002
849	22531	3976
850	22557	3949
851	22588	3923
852	22616	3897
853	22637	3870
854	22660	3843
855	22684	3816
856	22705	3788
857	22727	3761
858	22753	3734
859	22775	3707
860	22797	3680
861	22832	3655
862	22853	3627
863	22879	3601
864	22909	3575
865	22937	3549
866	22959	3522
867	22982	3495
868	23016	3469
869	23037	3442
870	23068	3416
871	23088	3389
872	23110	3362
873	23137	3335
874	23157	3308
875	23178	3280
876	23205	3254
877	23226	3227
878	23248	3200
879	23276	3174
880	23297	3146
881	23321	3120
882	23345	3093
883	23364	3065
884	23387	3039
885	23411	3012
886	23432	2985
887	23457	2958
888	23481	2931
889	23504	2905
890	23532	2878
891	23555	2851
892	23582	2825
893	23605	2798
894	23631	2772
895	23675	2748
896	23727	2724
897	23759	2698
898	23801	2674
899	23849	2649
900	23896	2625
901	23938	2600
902	23971	2574
903	23996	2548
904	24016	2521
905	24036	2493
906	24073	2468
907	24094	2441
908	24118	2414
909	24137	2387
910	24158	2360
911	24181	2333
912	24202	2306
913	24222	2279
914	24246	2252
915	24273	2225
916	24296	2199
917	24320	2172
918	24339	2145
919	24362	2118
920	24387	2091
921	24408	2064
922	24428	2037
923	24452	2011
924	24477	1984
925	24498	1957
926	24522	1931
927	24546	1904
928	24577	1878
929	24597	1851
930	24618	1824
931	24642	1797
932	24665	1771
933	24686	1744
934	24708	1717
935	24728	1690
936	24750	1664
937	24773	1637
938	24799	1611
939	24821	1584
940	24850	1558
941	24874	1531
942	24897	1504
943	24921	1478
944	24942	1451
945	24964	1425
946	24989	1398
947	25010	1371
948	25033	1345
949	25056	1318
950	25076	1292
951	25102	1265
952	25125	1239
953	25154	1212
954	25180	1186
955	25202	1159
956	25225	1133
957	25250	1106
958	25273	1080
959	25308	1054
960	25346	1028
961	25387	1002
962	25434	977
963	25464	950
964	25495	924
965	25518	898
966	25543	871
967	25572	845
968	25593	818
969	25615	792
970	25642	765
971	25663	739
972	25690	712
973	25722	686
974	25745	660
975	25772	633
976	25795	607
977	25819	580
978	25845	554
979	25867	527
980	25891	501
981	25914	475
982	25937	448
983	25961	422
984	25984	395
985	26007	369
986	26033	342
987	26057	316
988	26081	290
989	26107	263
990	26127	237
991	26150	210
992	26176	184
993	26200	158
994	26227	131
995	26249	105
996	26271	79
997	26298	52
998	26321	26
999	26344	0
